Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
00B1B0       C    No     00000781-00000791       11
00B2C4       6    No     00000792-0000079C        B
00B382       4    No     0000079D-000007A5        9
00B3AA       3    No     000007A6-000007AD        8
00BB9B       1    No     000007AE-000007B3        6
00BBA6       1    No     000007B4-000007B9        6
00BE90       2    No     000007BA-000007C0        7
00BEF9      30    No     000007C1-000007F5       35
00BF98       8    No     000007F6-00000802        D
00BFBD       2    No     00000803-00000809        7
00BFCF       2    No     0000080A-00000810        7
00C02F       4    No     00000811-00000819        9
00C084       2    No     0000081A-00000820        7
00C181       1    No     00000821-00000826        6
00C19B       4    No     00000827-0000082F        9
00C1B6       1    No     00000830-00000835        6
00C1BE       2    No     00000836-0000083C        7
00C1C6       2    No     0000083D-00000843        7
00C1D2       C    No     00000844-00000854       11
00C22B       2    No     00000855-0000085B        7
00C23A       2    No     0000085C-00000862        7
00C246       1    No     00000863-00000868        6
00C258       2    No     00000869-0000086F        7
00C262       1    No     00000870-00000875        6
00C26A       2    No     00000876-0000087C        7
00C276       7    No     0000087D-00000888        C
00C286       8    No     00000889-00000895        D
00C297       2    No     00000896-0000089C        7
00C434       5    No     0000089D-000008A6        A
00C453       1    No     000008A7-000008AC        6
00C461       1    No     000008AD-000008B2        6
00C46A       4    No     000008B3-000008BB        9
00C4A9       1    No     000008BC-000008C1        6
00C5CB       1    No     000008C2-000008C7        6
00C69E       1    No     000008C8-000008CD        6
00C738       1    No     000008CE-000008D3        6
00C965       1    No     000008D4-000008D9        6
00CB2C       5    No     000008DA-000008E3        A
00CB80       5    No     000008E4-000008ED        A
00CFD2       1    No     000008EE-000008F3        6
00D199       5    No     000008F4-000008FD        A
00D2D6       1    No     000008FE-00000903        6
00D453       1    No     00000904-00000909        6
00D5A4       1    No     0000090A-0000090F        6
00D5C2       1    No     00000910-00000915        6
00D5CC       6    No     00000916-00000920        B
00D666       4    No     00000921-00000929        9
00D673       5    No     0000092A-00000933        A
00D6C4       1    No     00000934-00000939        6
00D98C       5    No     0000093A-00000943        A
00D9D8       5    No     00000944-0000094D        A
00DA57       F    No     0000094E-00000961       14
00DA76       5    No     00000962-0000096B        A
00DAAF      18    No     0000096C-00000988       1D
00DAD7       2    No     00000989-0000098F        7
00DAE7       1    No     00000990-00000995        6
00DB04       1    No     00000996-0000099B        6
00DB5F       1    No     0000099C-000009A1        6
00DBC2       C    No     000009A2-000009B2       11
00DBF2      24    No     000009B3-000009DB       29
00DC2B       9    No     000009DC-000009E9        E
00DC41       7    No     000009EA-000009F5        C
00DC54       3    No     000009F6-000009FD        8
00DC78       7    No     000009FE-00000A09        C
00DC87       D    No     00000A0A-00000A1B       12
00DC9A       1    No     00000A1C-00000A21        6
00DCA4       4    No     00000A22-00000A2A        9
00DD33       1    No     00000A2B-00000A30        6
00DD74       1    No     00000A31-00000A36        6
00DD7E       A    No     00000A37-00000A45        F
00DDA0      1B    No     00000A46-00000A65       20
00DDD0       5    No     00000A66-00000A6F        A
00DDFA       9    No     00000A70-00000A7D        E
00DE3C       4    No     00000A7E-00000A86        9
00DE4F       2    No     00000A87-00000A8D        7
00DE87       2    No     00000A8E-00000A94        7
00DF4E       9    No     00000A95-00000AA2        E
00DFA9      13    No     00000AA3-00000ABA       18
00E003      16    No     00000ABB-00000AD5       1B
00E03D     3BD    No     00000AD6-00000E97      3C2
00E400      FC    No     00000E98-00000F98      101
00F059       4    No     00000F99-00000FA1        9
00F2AD       4    No     00000FA2-00000FAA        9
010070       A    No     00000FAB-00000FB9        F
010135      CA    No     00000FBA-00001088       CF
01024C       3    No     00001089-00001090        8
0108B8       C    No     00001091-000010A1       11
010E8B       B    No     000010A2-000010B1       10
01121C       1    No     000010B2-000010B7        6
01169F       7    No     000010B8-000010C3        C
011C9B       7    No     000010C4-000010CF        C
011CB7       5    No     000010D0-000010D9        A
011CC2       5    No     000010DA-000010E3        A
0126A0       4    No     000010E4-000010EC        9
012743       1    No     000010ED-000010F2        6
013803       8    No     000010F3-000010FF        D
013BBA       5    No     00001100-00001109        A
013DE1       4    No     0000110A-00001112        9
01421E       6    No     00001113-0000111D        B
01431C       1    No     0000111E-00001123        6
014991       5    No     00001124-0000112D        A
0149A4       3    No     0000112E-00001135        8
0149C4       1    No     00001136-0000113B        6
0149D7       1    No     0000113C-00001141        6
0149E5       4    No     00001142-0000114A        9
014C35       4    No     0000114B-00001153        9
014D9C       6    No     00001154-0000115E        B
014DAF       4    No     0000115F-00001167        9
0151FF       1    No     00001168-0000116D        6
015207       1    No     0000116E-00001173        6
01537B       4    No     00001174-0000117C        9
0159F5       1    No     0000117D-00001182        6
015B39       1    No     00001183-00001188        6
015CB0       6    No     00001189-00001193        B
015CE7       9    No     00001194-000011A1        E
0160D9       E    No     000011A2-000011B4       13
016264       1    No     000011B5-000011BA        6
0162D2       4    No     000011BB-000011C3        9
0162EE      12    No     000011C4-000011DA       17
016449       5    No     000011DB-000011E4        A
0167AB       1    No     000011E5-000011EA        6
016C86       4    No     000011EB-000011F3        9
016C9A       D    No     000011F4-00001205       12
016CAF       4    No     00001206-0000120E        9
016CD2       5    No     0000120F-00001218        A
017062       1    No     00001219-0000121E        6
0181C0      40    No     0000121F-00001263       45
018225       4    Yes    00001264-0000126B        8
018430       5    No     0000126C-00001275        A
01866F       5    No     00001276-0000127F        A
0186FC       7    No     00001280-0000128B        C
01875A       4    No     0000128C-00001294        9
01884C       5    No     00001295-0000129E        A
018957       4    No     0000129F-000012A7        9
018CAC       D    No     000012A8-000012B9       12
018CC8       1    No     000012BA-000012BF        6
018CF9       1    No     000012C0-000012C5        6
018D42       1    No     000012C6-000012CB        6
01909F       3    No     000012CC-000012D3        8
0190EC       1    No     000012D4-000012D9        6
019128       5    No     000012DA-000012E3        A
019136       1    No     000012E4-000012E9        6
019142       5    No     000012EA-000012F3        A
019150       1    No     000012F4-000012F9        6
019172       1    No     000012FA-000012FF        6
019205       4    No     00001300-00001308        9
0196E8       1    No     00001309-0000130E        6
0196F0       1    No     0000130F-00001314        6
01979E       3    No     00001315-0000131C        8
0197A8      30    No     0000131D-00001351       35
01991D       6    No     00001352-0000135C        B
019A39       4    No     0000135D-00001365        9
019AF2      10    No     00001366-0000137A       15
019B92       3    No     0000137B-00001382        8
019BA4       1    No     00001383-00001388        6
019C1B       4    No     00001389-00001391        9
019C82       2    No     00001392-00001398        7
019C92       5    No     00001399-000013A2        A
019CB5       1    No     000013A3-000013A8        6
019CDD       4    No     000013A9-000013B1        9
019E6E       1    No     000013B2-000013B7        6
019E9F       9    No     000013B8-000013C5        E
019EB9       4    No     000013C6-000013CE        9
019EDB       4    No     000013CF-000013D7        9
019F0C       4    No     000013D8-000013E0        9
019F3F       4    Yes    000013E1-000013E8        8
019F90      17    No     000013E9-00001404       1C
019FBC       1    No     00001405-0000140A        6
01A2DB       4    No     0000140B-00001413        9
01A328       A    No     00001414-00001422        F
01A366       9    No     00001423-00001430        E
01A37C       1    No     00001431-00001436        6
01A38B       A    No     00001437-00001445        F
01A3B2       5    No     00001446-0000144F        A
01A4F9       1    No     00001450-00001455        6
01A505       1    No     00001456-0000145B        6
01A50F       5    No     0000145C-00001465        A
01A51D       5    No     00001466-0000146F        A
01A52B       5    No     00001470-00001479        A
01A605       4    No     0000147A-00001482        9
01A6BA       C    No     00001483-00001493       11
01A880       1    No     00001494-00001499        6
01A89F       1    No     0000149A-0000149F        6
01A8AA       3    No     000014A0-000014A7        8
01A91E       5    No     000014A8-000014B1        A
01A96A       4    No     000014B2-000014BA        9
01A9ED       1    No     000014BB-000014C0        6
01ACB3       1    No     000014C1-000014C6        6
01ACC4       B    No     000014C7-000014D6       10
01AD54       4    No     000014D7-000014DF        9
01B0E4       1    No     000014E0-000014E5        6
01B10D       5    No     000014E6-000014EF        A
01B2A7       6    No     000014F0-000014FA        B
01B57C       2    No     000014FB-00001501        7
01B5A6       2    No     00001502-00001508        7
01C3C0       2    No     00001509-0000150F        7
01C6AB       6    No     00001510-0000151A        B
01C83C       3    No     0000151B-00001522        8
01C8BD       6    No     00001523-0000152D        B
01C901       4    No     0000152E-00001536        9
01C9AF       3    No     00001537-0000153E        8
01CA01       A    No     0000153F-0000154D        F
01CAA8       3    No     0000154E-00001555        8
01CAD6       2    No     00001556-0000155C        7
01CC3B       D    No     0000155D-0000156E       12
01CF27       6    No     0000156F-00001579        B
01CFC2       1    No     0000157A-0000157F        6
