Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
0248D5       A    No     00023DBF-00023DCD        F
0248E5      1A    No     00023DCE-00023DEC       1F
02490F       4    No     00023DED-00023DF5        9
024929       E    No     00023DF6-00023E08       13
024945    3EE3    No     00023E09-00027CF0     3EE8
028828      14    Yes    00027CF1-00027CF8        8
02883C       1    No     00027CF9-00027CFE        6
02883D      31    Yes    00027CFF-00027D06        8
02886E    2D2B    No     00027D07-0002AA36     2D30
02B599      1C    Yes    0002AA37-0002AA3E        8
02B5B5    28F9    No     0002AA3F-0002D33C     28FE
02DEAE      24    Yes    0002D33D-0002D344        8
02DED2    244E    No     0002D345-0002F797     2453
030320      10    Yes    0002F798-0002F79F        8
030330    6FC0    No     0002F7A0-00036764     6FC5
0372F0      11    Yes    00036765-0003676C        8
037301     39B    No     0003676D-00036B0C      3A0
03769C       E    Yes    00036B0D-00036B14        8
0376AA      30    No     00036B15-00036B49       35
0376DB       B    Yes    00036B4A-00036B51        8
0376E8      2A    No     00036B52-00036B80       2F
037712       D    Yes    00036B81-00036B88        8
037720    1003    No     00036B89-00037B90     1008
038723       E    Yes    00037B91-00037B98        8
038731     EB3    No     00037B99-00038A50      EB8
0395E4      12    Yes    00038A51-00038A58        8
0395F6     E18    No     00038A59-00039875      E1D
03A40E      10    Yes    00039876-0003987D        8
03A41E     A39    No     0003987E-0003A2BB      A3E
03AE57      10    Yes    0003A2BC-0003A2C3        8
03AE67       1    No     0003A2C4-0003A2C9        6
03AE68      10    Yes    0003A2CA-0003A2D1        8
03AE78      10    Yes    0003A2D2-0003A2D9        8
03AE88       1    No     0003A2DA-0003A2DF        6
03AE89      10    Yes    0003A2E0-0003A2E7        8
03AE99       1    No     0003A2E8-0003A2ED        6
03AE9A      10    Yes    0003A2EE-0003A2F5        8
03AEAA       1    No     0003A2F6-0003A2FB        6
03AEAB      10    Yes    0003A2FC-0003A303        8
03AEBB       F    Yes    0003A304-0003A30B        8
03AECC      10    Yes    0003A30C-0003A313        8
03AEDC       1    No     0003A314-0003A319        6
03AEDD      10    Yes    0003A31A-0003A321        8
03AEED       1    No     0003A322-0003A327        6
03AEEE      10    Yes    0003A328-0003A32F        8
03AEFE    1B75    No     0003A330-0003BEA9     1B7A
03CA73      10    Yes    0003BEAA-0003BEB1        8
03CA83    1CA0    No     0003BEB2-0003DB56     1CA5
03E72A     A3F    No     0003DB57-0003E59A      A44
03F169       F    Yes    0003E59B-0003E5A2        8
03F178      59    No     0003E5A3-0003E600       5E
03F1D1       F    Yes    0003E601-0003E608        8
03F1E0    46D9    No     0003E609-00042CE6     46DE
0438B9     200    Yes    00042CE7-00042CEE        8
044000       A    Yes    00042CEF-00042CF6        8
04400A     1B5    No     00042CF7-00042EB0      1BA
0441BF       F    Yes    00042EB1-00042EB8        8
0441CE       2    No     00042EB9-00042EBF        7
0441D0       E    Yes    00042EC0-00042EC7        8
0441DE       2    No     00042EC8-00042ECE        7
0441E0       F    Yes    00042ECF-00042ED6        8
0441EF       1    No     00042ED7-00042EDC        6
0441F0       E    Yes    00042EDD-00042EE4        8
0441FE     20B    No     00042EE5-000430F4      210
044410       7    No     000430F5-00043100        C
044420      1A    No     00043101-0004311F       1F
044440       6    No     00043120-0004312A        B
044450       6    No     0004312B-00043135        B
044460     1A0    No     00043136-000432DA      1A5
04460E       1    No     000432DB-000432E0        6
044622      47    No     000432E1-0004332C       4C
044670       7    No     0004332D-00043338        C
044680       8    No     00043339-00043345        D
04468E       A    No     00043346-00043354        F
04469E      68    No     00043355-000433C1       6D
04470E       8    No     000433C2-000433CE        D
04471E      E7    No     000433CF-000434BA       EC
04480E       2    No     000434BB-000434C1        7
04481E      42    No     000434C2-00043508       47
04486E       1    No     00043509-0004350E        6
044880      F8    No     0004350F-0004360B       FD
044978      10    Yes    0004360C-00043613        8
044988      AF    No     00043614-000436C7       B4
044A45      20    No     000436C8-000436EC       25
044A6E       2    No     000436ED-000436F3        7
044A7E      8A    No     000436F4-00043782       8F
044B11       7    No     00043783-0004378E        C
044B20       A    No     0004378F-0004379D        F
044B30       A    No     0004379E-000437AC        F
044B40       8    No     000437AD-000437B9        D
044B50       8    No     000437BA-000437C6        D
044B60      18    Yes    000437C7-000437CE        8
044B80      A9    No     000437CF-0004387C       AE
044C32       5    No     0004387D-00043886        A
044C46       2    No     00043887-0004388D        7
044C49       7    Yes    0004388E-00043895        8
044C56      4C    No     00043896-000438E6       51
044CAA       8    No     000438E7-000438F3        D
044CB9      8B    No     000438F4-00043983       90
044D50       4    Yes    00043984-0004398B        8
044D60      70    No     0004398C-00043A00       75
044DD6      1E    No     00043A01-00043A23       23
044DFE      32    No     00043A24-00043A5A       37
044E38      A8    No     00043A5B-00043B07       AD
044EE2      1F    Yes    00043B08-00043B0F        8
044F02      3D    No     00043B10-00043B51       42
044F60      20    No     00043B52-00043B76       25
044F86      81    No     00043B77-00043BFC       86
045010       8    No     00043BFD-00043C09        D
045020      28    No     00043C0A-00043C36       2D
04504E       A    No     00043C37-00043C45        F
04505E       2    No     00043C46-00043C4C        7
04506E       2    No     00043C4D-00043C53        7
045080      A0    No     00043C54-00043CF8       A5
045120       E    Yes    00043CF9-00043D00        8
04512F       1    No     00043D01-00043D06        6
045130       E    Yes    00043D07-00043D0E        8
04513E      11    No     00043D0F-00043D24       16
04515C      2C    No     00043D25-00043D55       31
045190       A    No     00043D56-00043D64        F
0451A0     270    No     00043D65-00043FD9      275
045420      26    No     00043FDA-00044004       2B
04544E      42    No     00044005-0004404B       47
045490      10    Yes    0004404C-00044053        8
0454A0     15F    No     00044054-000441B7      164
0455FF      62    Yes    000441B8-000441BF        8
045661      DE    No     000441C0-000442A2       E3
045740      7F    Yes    000442A3-000442AA        8
0457C1     1BE    No     000442AB-0004446D      1C3
045986       A    No     0004446E-0004447C        F
045996       9    No     0004447D-0004448A        E
0459A8       8    Yes    0004448B-00044492        8
0459B8       7    No     00044493-0004449E        C
0459C0      21    Yes    0004449F-000444A6        8
0459E1      5E    No     000444A7-00044509       63
045A40      16    Yes    0004450A-00044511        8
045A56       9    No     00044512-0004451F        E
045A60      27    Yes    00044520-00044527        8
045A87       9    No     00044528-00044535        E
045A90      16    Yes    00044536-0004453D        8
045AA6       9    No     0004453E-0004454B        E
045AAF      17    Yes    0004454C-00044553        8
045AC6       9    No     00044554-00044561        E
045ACF      18    Yes    00044562-00044569        8
045AE7       9    No     0004456A-00044577        E
045AF0      1A    Yes    00044578-0004457F        8
045B0A       6    No     00044580-0004458A        B
045B10      26    Yes    0004458B-00044592        8
045B36      49    No     00044593-000445E0       4E
045B86      82    No     000445E1-00044667       87
045C10       7    No     00044668-00044673        C
045C20       7    No     00044674-0004467F        C
045C30       7    No     00044680-0004468B        C
045C50       7    No     0004468C-00044697        C
045C81       B    No     00044698-000446A7       10
045CA0       B    No     000446A8-000446B7       10
045CC0       7    No     000446B8-000446C3        C
045CE1       D    No     000446C4-000446D5       12
045D00      10    No     000446D6-000446EA       15
045D1E       1    No     000446EB-000446F0        6
045D30     107    No     000446F1-000447FC      10C
045E38       7    Yes    000447FD-00044804        8
045E54      14    No     00044805-0004481D       19
045E74       3    No     0004481E-00044825        8
045E87       1    No     00044826-0004482B        6
045E89       7    Yes    0004482C-00044833        8
045EA6       1    No     00044834-00044839        6
045EA8       7    Yes    0004483A-00044841        8
045EC6       1    No     00044842-00044847        6
045EC8       7    Yes    00044848-0004484F        8
045EE7       1    No     00044850-00044855        6
045EE9       7    Yes    00044856-0004485D        8
045F00      11    No     0004485E-00044873       16
045F1E       1    No     00044874-00044879        6
045F30     309    No     0004487A-00044B87      30E
046244      35    No     00044B88-00044BC1       3A
046284      39    No     00044BC2-00044BFF       3E
0462C4       1    No     00044C00-00044C05        6
0462D6       1    No     00044C06-00044C0B        6
0462E2       3    No     00044C0C-00044C13        8
0462EE      4B    No     00044C14-00044C63       50
046344      35    No     00044C64-00044C9D       3A
046384      35    No     00044C9E-00044CD7       3A
0463C4      35    No     00044CD8-00044D11       3A
046404      35    No     00044D12-00044D4B       3A
046444      35    No     00044D4C-00044D85       3A
046484      39    No     00044D86-00044DC3       3E
0464C4       1    No     00044DC4-00044DC9        6
0464D6       1    No     00044DCA-00044DCF        6
0464E2       4    No     00044DD0-00044DD8        9
0464EE       F    No     00044DD9-00044DEC       14
046504      30    No     00044DED-00044E21       35
046548      2C    No     00044E22-00044E52       31
046588      2C    No     00044E53-00044E83       31
0465D0      24    No     00044E84-00044EAC       29
046622       4    No     00044EAD-00044EB5        9
046658      1C    No     00044EB6-00044ED6       21
0466A2       4    No     00044ED7-00044EDF        9
046740     1C0    No     00044EE0-000450A4      1C5
046900     200    Yes    000450A5-000450AC        8
046CB0      CF    No     000450AD-00045180       D4
046D88      10    No     00045181-00045195       15
046DA0      58    No     00045196-000451F2       5D
046E00      15    No     000451F3-0004520C       1A
046E15       F    Yes    0004520D-00045214        8
046E24       4    No     00045215-0004521D        9
046E28       E    Yes    0004521E-00045225        8
046E36      5A    No     00045226-00045284       5F
046E90      10    Yes    00045285-0004528C        8
046EA8      18    No     0004528D-000452A9       1D
046EC6     3D2    No     000452AA-00045680      3D7
04729B       D    Yes    00045681-00045688        8
0472A8      18    No     00045689-000456A5       1D
0472C1      13    Yes    000456A6-000456AD        8
0472D4       3    No     000456AE-000456B5        8
0472D7       8    Yes    000456B6-000456BD        8
0472E0      92    Yes    000456BE-000456C5        8
047372     80E    No     000456C6-00045ED8      813
047B80     180    Yes    00045ED9-00045EE0        8
047D00     3D0    No     00045EE1-000462B5      3D5
0480D0      14    Yes    000462B6-000462BD        8
0480E4       C    No     000462BE-000462CE       11
0480F0       E    Yes    000462CF-000462D6        8
0480FE       1    No     000462D7-000462DC        6
0480FF      1F    Yes    000462DD-000462E4        8
048120      E1    No     000462E5-000463CA       E6
048202       E    Yes    000463CB-000463D2        8
048210      29    No     000463D3-00046400       2E
048239      11    Yes    00046401-00046408        8
04824A      26    No     00046409-00046433       2B
048276      12    No     00046434-0004644A       17
04828C       A    Yes    0004644B-00046452        8
048296     15C    No     00046453-000465B3      161
0483F8      10    No     000465B4-000465C8       15
048410     412    No     000465C9-000469DF      417
048822      28    Yes    000469E0-000469E7        8
04884C     39C    No     000469E8-00046D88      3A1
048BEC      14    Yes    00046D89-00046D90        8
048C00      BA    No     00046D91-00046E4F       BF
048CBA       E    Yes    00046E50-00046E57        8
048CC8     175    No     00046E58-00046FD1      17A
048E3D       E    Yes    00046FD2-00046FD9        8
048E4C      6E    No     00046FDA-0004704C       73
048EC4     2DB    No     0004704D-0004732C      2E0
04919F       F    Yes    0004732D-00047334        8
0491AE       1    No     00047335-0004733A        6
0491AF      13    Yes    0004733B-00047342        8
0491C2     329    No     00047343-00047670      32E
0494EB      15    Yes    00047671-00047678        8
049500      10    No     00047679-0004768D       15
049510      25    Yes    0004768E-00047695        8
049535      3B    No     00047696-000476D5       40
049570       F    Yes    000476D6-000476DD        8
04957F     1A9    No     000476DE-0004788B      1AE
049735       B    Yes    0004788C-00047893        8
049740      78    No     00047894-00047910       7D
0497BD      1B    Yes    00047911-00047918        8
0497D8       1    No     00047919-0004791E        6
0497D9       F    Yes    0004791F-00047926        8
0497E8      59    No     00047927-00047984       5E
049841      45    Yes    00047985-0004798C        8
049886     20E    No     0004798D-00047B9F      213
049A94      14    Yes    00047BA0-00047BA7        8
049AA8     101    No     00047BA8-00047CAD      106
049BA9      39    Yes    00047CAE-00047CB5        8
049BE2      55    No     00047CB6-00047D0F       5A
049C37      1D    Yes    00047D10-00047D17        8
049C54      71    No     00047D18-00047D8D       76
049CC5      25    Yes    00047D8E-00047D95        8
049CEA      6E    No     00047D96-00047E08       73
049D58      17    Yes    00047E09-00047E10        8
049D70      78    No     00047E11-00047E8D       7D
049DF0      10    Yes    00047E8E-00047E95        8
049E00     11C    No     00047E96-00047FB6      121
049F1C      10    Yes    00047FB7-00047FBE        8
049F2C     235    No     00047FBF-000481F8      23A
04A162      16    Yes    000481F9-00048200        8
04A178      5B    No     00048201-00048260       60
04A1D3      35    Yes    00048261-00048268        8
04A208       1    No     00048269-0004826E        6
04A209      17    Yes    0004826F-00048276        8
04A220      2F    No     00048277-000482AA       34
04A258      28    Yes    000482AB-000482B2        8
04A280      78    No     000482B3-0004832F       7D
04A2F8      18    Yes    00048330-00048337        8
04A310     199    No     00048338-000484D5      19E
04A4AC      13    Yes    000484D6-000484DD        8
04A4C0      78    No     000484DE-0004855A       7D
04A538      18    Yes    0004855B-00048562        8
04A550      37    No     00048563-0004859E       3C
04A587      11    Yes    0004859F-000485A6        8
04A598     557    No     000485A7-00048B02      55C
04AAEF       F    Yes    00048B03-00048B0A        8
04AAFE      6B    No     00048B0B-00048B7A       70
04AB69      12    Yes    00048B7B-00048B82        8
04AB80      78    No     00048B83-00048BFF       7D
04ABF8      17    Yes    00048C00-00048C07        8
04AC10      78    No     00048C08-00048C84       7D
04AC88      18    Yes    00048C85-00048C8C        8
04ACA0      78    No     00048C8D-00048D09       7D
04AD1E      A3    No     00048D0A-00048DB1       A8
04ADC1      17    Yes    00048DB2-00048DB9        8
04ADD8      78    No     00048DBA-00048E36       7D
04AE50      18    Yes    00048E37-00048E3E        8
04AE68     274    No     00048E3F-000490B7      279
04B0E2     27C    No     000490B8-00049338      281
04B35E      37    Yes    00049339-00049340        8
04B396      42    No     00049341-00049387       47
04B3D8      1F    Yes    00049388-0004938F        8
04B3F8     359    No     00049390-000496ED      35E
04B751      17    Yes    000496EE-000496F5        8
04B768      35    No     000496F6-0004972F       3A
04B79D      13    Yes    00049730-00049737        8
04B7B0     4D7    No     00049738-00049C13      4DC
04BC89      13    Yes    00049C14-00049C1B        8
04BC9C       6    No     00049C1C-00049C26        B
04BCA8     150    No     00049C27-00049D7B      155
04BDF8      16    Yes    00049D7C-00049D83        8
04BE10     19F    No     00049D84-00049F27      1A4
04BFAF      10    Yes    00049F28-00049F2F        8
04BFC0      78    No     00049F30-00049FAC       7D
04C038      18    Yes    00049FAD-00049FB4        8
04C050      87    No     00049FB5-0004A040       8C
04C0D7      15    Yes    0004A041-0004A048        8
